column,action,detail,source
outcome_primary_female_intentional_homicide_rate_per_100k,REBUILT (United Kingdom only),"United Kingdom rebuilt from UNODC victim counts summed across its three reporting jurisdictions, divided by total population, so it shares the denominator used for every other country. 17 observations. The 43 other countries match the UNODC published rates within 2%.",UNODC UN-CTS intentional homicide (counts) + panel population_total
male_intentional_homicide_rate_per_100k,ADDED,"UNODC Sex=Male, Dimension=Total, Category=Total, Rate per 100,000 population. 1116 observations, 45 countries.",UNODC UN-CTS intentional homicide
total_intentional_homicide_rate_per_100k,ADDED,"UNODC Sex=Total, Dimension=Total, Category=Total, Rate per 100,000 population. 1268 observations, 45 countries.",UNODC UN-CTS intentional homicide
female_ipf_homicide_rate_per_100k,ADDED,"UNODC Sex=Female, Dimension=by relationship to perpetrator, Category=Intimate partner or family member, Rate per 100,000 population. 436 observations, 35 countries.",UNODC UN-CTS intentional homicide
male_ipf_homicide_rate_per_100k,ADDED,"UNODC Sex=Male, Dimension=by relationship to perpetrator, Category=Intimate partner or family member, Rate per 100,000 population. 434 observations, 35 countries.",UNODC UN-CTS intentional homicide
female_ip_homicide_rate_per_100k,ADDED,"UNODC Sex=Female, Dimension=by relationship to perpetrator, Category=Intimate partner or family member: Intimate partner, Rate per 100,000 population. 313 observations, 31 countries.",UNODC UN-CTS intentional homicide
female_share_of_homicide_victims,DERIVED,"female / (female + male) homicide rate. Country-year shocks that affect homicide recording in general cancel out of this ratio, so it isolates the sex-specific component the Convention targets.",derived
log_female_male_homicide_ratio,DERIVED,log(female rate) - log(male rate). The difference-in-differences estimand on this outcome is a triple difference: it nets out any country-year change in homicide levels or recording common to both sexes.,derived
unodc_subregion,ADDED,"UNODC Subregion, used for regionally-restricted control groups.",UNODC UN-CTS
post_socialist,DERIVED,"1 for post-socialist / post-Soviet states. ALL SIX never-ratifiers are post-socialist, which is the single largest source of treated/control incomparability in the original design.",derived
convention_signed_year / convention_ratified_year / convention_entry_into_force_year,VERIFIED (values unchanged),"All 45 countries x 3 date fields re-checked against data/treatment_dates_verified.csv. 0 disagreements. The build now raises if any transcription drifts. Primary authority (CoE Treaty Office chart, CETS 210) returned HTTP 403 to automated retrieval; two independent secondary sources were used and agree on every analysis-relevant cell. See src/make_treatment_dates.py header.",data/treatment_dates_verified.csv
convention_denunciation_year,ADDED,Year a denunciation took legal effect. Turkey only (2021-07-01). Empty for all other countries.,data/treatment_dates_verified.csv
treatment_first_full_year_ratification / treatment_first_full_year_eif,ADDED,"Treatment switched on in the first FULL calendar year after the event, not the calendar year containing it. Addresses within-year timing: e.g. Austria ratified 2013-11-14 and Bosnia 2013-11-07, leaving almost all of 2013 untreated. Robustness check, not the main definition.",derived from data/treatment_dates_verified.csv
treatment_ratification_nonabsorbing,ADDED,"Equals treatment_main_ratification except that Turkey returns to 0 from 2021, its denunciation year. NOT used for the main estimates — stacked DiD and Callaway-Sant'Anna both require absorbing treatment. treatment_main_ratification is unchanged, so no headline estimate moves.",derived from data/treatment_dates_verified.csv
