country,iso3,year,convention_status_current,convention_signed_year,convention_ratified_year,convention_entry_into_force_year,convention_denounced_effective_year,treatment_main_ratification,post_entry_into_force,active_party_annual_approx,event_time_main_ratification_years,years_since_entry_into_force,outcome_primary_female_intentional_homicide_rate_per_100k,outcome_secondary_sexual_violence_rate_per_100k,outcome_secondary_rape_rate_per_100k,gdp_per_capita_constant_2015_usd,female_labor_force_participation_pct,turkey_post_denunciation_2021_onward,microstate_country,sample_exclude_turkey,sample_exclude_microstates,sample_primary_female_homicide_2000_2023,sample_secondary_sexual_violence_2005_2023,sample_secondary_rape_2005_2023,sample_core_controls_available,sample_primary_full_controls,sample_secondary_sv_full_controls,sample_secondary_rape_full_controls,population_total,grevio_report_year,grevio_report_available,sample_primary_grevio_available,wbl_dv_legislation,wbl_femicide_law,sample_wbl_dv_legislation,sample_wbl_femicide_law,ratified_by_2023,ratification_after_analysis_window,government_effectiveness_wgi,rule_of_law_wgi,wgi_value_status,grevio_baseline_report_year_verified,grevio_report_available_verified,grevio_score_status,wave_shelter_reference_population_2020,wave_shelter_existing_beds_2020,wave_shelter_beds_needed_ic_standard_2020,wave_shelter_beds_missing_2020,wave_shelter_pct_beds_missing_2020,wave_shelter_beds_per_10k_total_population_2020,wave_shelter_meets_ic_minimum_standard_2020,data_quality_note
Albania,ALB,1990,party,2011,2013.0,2014.0,,0,0,0,-23,-24,,,,1682.88,53.5,0,0,1,1,0,0,0,0,0,0,0,3286000,2017,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017,0,excluded_until_researcher_coding_rubric_is_documented,2845955,153,285,132,46,0.537605,0,GDP parsed from comma-formatted text to numeric.
Albania,ALB,1991,party,2011,2013.0,2014.0,,0,0,0,-22,-23,,,,1218.96,59.1,0,0,1,1,0,0,0,0,0,0,0,3266000,2017,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017,0,excluded_until_researcher_coding_rubric_is_documented,2845955,153,285,132,46,0.537605,0,GDP parsed from comma-formatted text to numeric.
Albania,ALB,1992,party,2011,2013.0,2014.0,,0,0,0,-21,-22,0.853,,,1138.24,60.4,0,0,1,1,0,0,0,0,0,0,0,3247000,2017,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017,0,excluded_until_researcher_coding_rubric_is_documented,2845955,153,285,132,46,0.537605,0,GDP parsed from comma-formatted text to numeric.
Albania,ALB,1993,party,2011,2013.0,2014.0,,0,0,0,-20,-21,0.974,,,1254.68,58.6,0,0,1,1,0,0,0,0,0,0,0,3230000,2017,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017,0,excluded_until_researcher_coding_rubric_is_documented,2845955,153,285,132,46,0.537605,0,GDP parsed from comma-formatted text to numeric.
Albania,ALB,1994,party,2011,2013.0,2014.0,,0,0,0,-19,-20,0.73,,,1367.22,57.0,0,0,1,1,0,0,0,0,0,0,0,3214000,2017,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017,0,excluded_until_researcher_coding_rubric_is_documented,2845955,153,285,132,46,0.537605,0,GDP parsed from comma-formatted text to numeric.
Albania,ALB,1995,party,2011,2013.0,2014.0,,0,0,0,-18,-19,1.584,,,1558.97,54.8,0,0,1,1,0,0,0,0,0,0,0,3201000,2017,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017,0,excluded_until_researcher_coding_rubric_is_documented,2845955,153,285,132,46,0.537605,0,GDP parsed from comma-formatted text to numeric.
Albania,ALB,1996,party,2011,2013.0,2014.0,,0,0,0,-17,-18,1.707,,,1683.77,53.4,0,0,1,1,0,0,0,1,0,0,0,3190000,2017,0,0,0.0,0.0,1,1,1,0,-1.17,-1.16,retained_legacy_not_independently_reimported,2017,0,excluded_until_researcher_coding_rubric_is_documented,2845955,153,285,132,46,0.537605,0,GDP parsed from comma-formatted text to numeric.
Albania,ALB,1997,party,2011,2013.0,2014.0,,0,0,0,-16,-17,10.812,,,1495.9,55.2,0,0,1,1,0,0,0,0,0,0,0,3194000,2017,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017,0,excluded_until_researcher_coding_rubric_is_documented,2845955,153,285,132,46,0.537605,0,GDP parsed from comma-formatted text to numeric.
Albania,ALB,1998,party,2011,2013.0,2014.0,,0,0,0,-15,-16,5.33,,,1630.44,53.7,0,0,1,1,0,0,0,1,0,0,0,3194000,2017,0,0,0.0,0.0,1,1,1,0,-1.25,-1.58,retained_legacy_not_independently_reimported,2017,0,excluded_until_researcher_coding_rubric_is_documented,2845955,153,285,132,46,0.537605,0,GDP parsed from comma-formatted text to numeric.
Albania,ALB,1999,party,2011,2013.0,2014.0,,0,0,0,-14,-15,3.996,,,1841.81,51.8,0,0,1,1,0,0,0,0,0,0,0,3136000,2017,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017,0,excluded_until_researcher_coding_rubric_is_documented,2845955,153,285,132,46,0.537605,0,GDP parsed from comma-formatted text to numeric.
