country,iso3,year,convention_status_current,convention_signed_year,convention_ratified_year,convention_entry_into_force_year,convention_denounced_effective_year,treatment_main_ratification,post_entry_into_force,active_party_annual_approx,event_time_main_ratification_years,years_since_entry_into_force,outcome_primary_female_intentional_homicide_rate_per_100k,outcome_secondary_sexual_violence_rate_per_100k,outcome_secondary_rape_rate_per_100k,gdp_per_capita_constant_2015_usd,female_labor_force_participation_pct,turkey_post_denunciation_2021_onward,microstate_country,sample_exclude_turkey,sample_exclude_microstates,sample_primary_female_homicide_2000_2023,sample_secondary_sexual_violence_2005_2023,sample_secondary_rape_2005_2023,sample_core_controls_available,sample_primary_full_controls,sample_secondary_sv_full_controls,sample_secondary_rape_full_controls,population_total,grevio_report_year,grevio_report_available,sample_primary_grevio_available,wbl_dv_legislation,wbl_femicide_law,sample_wbl_dv_legislation,sample_wbl_femicide_law,ratified_by_2023,ratification_after_analysis_window,government_effectiveness_wgi,rule_of_law_wgi,wgi_value_status,grevio_baseline_report_year_verified,grevio_report_available_verified,grevio_score_status,wave_shelter_reference_population_2020,wave_shelter_existing_beds_2020,wave_shelter_beds_needed_ic_standard_2020,wave_shelter_beds_missing_2020,wave_shelter_pct_beds_missing_2020,wave_shelter_beds_per_10k_total_population_2020,wave_shelter_meets_ic_minimum_standard_2020,data_quality_note,male_intentional_homicide_rate_per_100k,total_intentional_homicide_rate_per_100k,female_ipf_homicide_rate_per_100k,male_ipf_homicide_rate_per_100k,female_ip_homicide_rate_per_100k,female_share_of_homicide_victims,log_female_male_homicide_ratio,unodc_subregion,post_socialist,convention_denunciation_year,treat_year_first_full_ratification,treat_year_first_full_eif,ever_ratified_verified,treatment_first_full_year_ratification,treatment_first_full_year_eif,treatment_ratification_nonabsorbing
Albania,ALB,1990,party,2011,2013.0,2014.0,,0,0,0,-23.0,-24.0,,,,1682.88,53.5,0,0,1,1,0,0,0,0,0,0,0,3286000,2017.0,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,,,,,,,,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,1991,party,2011,2013.0,2014.0,,0,0,0,-22.0,-23.0,,,,1218.96,59.1,0,0,1,1,0,0,0,0,0,0,0,3266000,2017.0,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,,,,,,,,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,1992,party,2011,2013.0,2014.0,,0,0,0,-21.0,-22.0,0.853,,,1138.24,60.4,0,0,1,1,0,0,0,0,0,0,0,3247000,2017.0,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,7.06623160609657,3.96039483308611,,,,0.10771247040474524,-2.114323057430088,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,1993,party,2011,2013.0,2014.0,,0,0,0,-20.0,-21.0,0.974,,,1254.68,58.6,0,0,1,1,0,0,0,0,0,0,0,3230000,2017.0,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,10.702133332681,5.82703558411989,,,,0.08341802652028779,-2.396787073820607,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,1994,party,2011,2013.0,2014.0,,0,0,0,-19.0,-20.0,0.73,,,1367.22,57.0,0,0,1,1,0,0,0,0,0,0,0,3214000,2017.0,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,6.14757940597785,3.42569506817668,,,,0.10614199515682787,-2.130769156656332,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,1995,party,2011,2013.0,2014.0,,0,0,0,-18.0,-19.0,1.584,,,1558.97,54.8,0,0,1,1,0,0,0,0,0,0,0,3201000,2017.0,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,14.4120338627127,7.94827910550865,,,,0.09902454655915414,-2.2081102491101072,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,1996,party,2011,2013.0,2014.0,,0,0,0,-17.0,-18.0,1.707,,,1683.77,53.4,0,0,1,1,0,0,0,1,0,0,0,3190000,2017.0,0,0,0.0,0.0,1,1,1,0,-1.17,-1.16,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,15.1973033506317,8.38037537919658,,,,0.10098020395121524,-2.1863805571580572,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,1997,party,2011,2013.0,2014.0,,0,0,0,-16.0,-17.0,10.812,,,1495.9,55.2,0,0,1,1,0,0,0,0,0,0,0,3194000,2017.0,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,72.6472448830627,41.3046638507867,,,,0.12954826053301852,-1.9049588377317535,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,1998,party,2011,2013.0,2014.0,,0,0,0,-15.0,-16.0,5.33,,,1630.44,53.7,0,0,1,1,0,0,0,1,0,0,0,3194000,2017.0,0,0,0.0,0.0,1,1,1,0,-1.25,-1.58,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,36.3157914751056,20.559899007284,,,,0.12798412063283965,-1.9189014353587133,Southern Europe,1,,2014.0,2015.0,True,0,0,0
Albania,ALB,1999,party,2011,2013.0,2014.0,,0,0,0,-14.0,-15.0,3.996,,,1841.81,51.8,0,0,1,1,0,0,0,0,0,0,0,3136000,2017.0,0,0,0.0,0.0,1,1,1,0,,,retained_legacy_not_independently_reimported,2017.0,0,excluded_until_researcher_coding_rubric_is_documented,2845955.0,153.0,285.0,132.0,46.0,0.537605,0.0,GDP parsed from comma-formatted text to numeric.,29.8965719451081,16.6844618578932,,,,0.1179019404745046,-2.012449962372163,Southern Europe,1,,2014.0,2015.0,True,0,0,0
