country,signature_date,ratification_date,entry_into_force_date,withdrawal_date,signature_year,ratification_year,entry_into_force_year,withdrawal_year,first_full_year_ratification,first_full_year_entry_into_force,ever_ratified
Albania,2011-12-19,2013-02-04,2014-08-01,,2011,2013.0,2014.0,,2014.0,2015.0,True
Andorra,2013-02-22,2014-04-22,2014-08-01,,2013,2014.0,2014.0,,2015.0,2015.0,True
Armenia,2018-01-18,,,,2018,,,,,,False
Austria,2011-05-11,2013-11-14,2014-08-01,,2011,2013.0,2014.0,,2014.0,2015.0,True
Belgium,2012-09-11,2016-03-14,2016-07-01,,2012,2016.0,2016.0,,2017.0,2017.0,True
Bosnia and Herzegovina,2013-03-08,2013-11-07,2014-08-01,,2013,2013.0,2014.0,,2014.0,2015.0,True
Bulgaria,2016-04-21,,,,2016,,,,,,False
Croatia,2013-01-22,2018-06-12,2018-10-01,,2013,2018.0,2018.0,,2019.0,2019.0,True
Cyprus,2015-06-16,2017-11-10,2018-03-01,,2015,2017.0,2018.0,,2018.0,2019.0,True
Czechia,2016-05-02,,,,2016,,,,,,False
Denmark,2013-10-11,2014-04-23,2014-08-01,,2013,2014.0,2014.0,,2015.0,2015.0,True
Estonia,2014-12-02,2017-10-26,2018-02-01,,2014,2017.0,2018.0,,2018.0,2019.0,True
Finland,2011-05-11,2015-04-17,2015-08-01,,2011,2015.0,2015.0,,2016.0,2016.0,True
France,2011-05-11,2014-07-04,2014-11-01,,2011,2014.0,2014.0,,2015.0,2015.0,True
Georgia,2014-06-19,2017-05-19,2017-09-01,,2014,2017.0,2017.0,,2018.0,2018.0,True
Germany,2011-05-11,2017-10-12,2018-02-01,,2011,2017.0,2018.0,,2018.0,2019.0,True
Greece,2011-05-11,2018-06-18,2018-10-01,,2011,2018.0,2018.0,,2019.0,2019.0,True
Hungary,2014-03-14,,,,2014,,,,,,False
Iceland,2011-05-11,2018-04-26,2018-08-01,,2011,2018.0,2018.0,,2019.0,2019.0,True
Ireland,2015-11-05,2019-03-08,2019-07-01,,2015,2019.0,2019.0,,2020.0,2020.0,True
Italy,2012-09-27,2013-09-10,2014-08-01,,2012,2013.0,2014.0,,2014.0,2015.0,True
Latvia,2016-05-18,2024-01-10,2024-05-01,,2016,2024.0,2024.0,,2025.0,2025.0,True
Liechtenstein,2016-11-10,2021-06-17,2021-10-01,,2016,2021.0,2021.0,,2022.0,2022.0,True
Lithuania,2013-06-07,,,,2013,,,,,,False
Luxembourg,2011-05-11,2018-08-07,2018-12-01,,2011,2018.0,2018.0,,2019.0,2019.0,True
Malta,2012-05-21,2014-07-29,2014-11-01,,2012,2014.0,2014.0,,2015.0,2015.0,True
Moldova,2017-02-06,2022-01-31,2022-05-01,,2017,2022.0,2022.0,,2023.0,2023.0,True
Monaco,2012-09-20,2014-10-07,2015-02-01,,2012,2014.0,2015.0,,2015.0,2016.0,True
Montenegro,2011-05-11,2013-04-22,2014-08-01,,2011,2013.0,2014.0,,2014.0,2015.0,True
Netherlands,2012-11-14,2015-11-18,2016-03-01,,2012,2015.0,2016.0,,2016.0,2017.0,True
North Macedonia,2011-07-08,2018-03-23,2018-07-01,,2011,2018.0,2018.0,,2019.0,2019.0,True
Norway,2011-07-07,2017-07-05,2017-11-01,,2011,2017.0,2017.0,,2018.0,2018.0,True
Poland,2012-12-18,2015-04-27,2015-08-01,,2012,2015.0,2015.0,,2016.0,2016.0,True
Portugal,2011-05-11,2013-02-05,2014-08-01,,2011,2013.0,2014.0,,2014.0,2015.0,True
Romania,2014-06-27,2016-05-23,2016-09-01,,2014,2016.0,2016.0,,2017.0,2017.0,True
San Marino,2014-04-30,2016-01-28,2016-05-01,,2014,2016.0,2016.0,,2017.0,2017.0,True
Serbia,2012-04-04,2013-11-21,2014-08-01,,2012,2013.0,2014.0,,2014.0,2015.0,True
Slovakia,2011-05-11,,,,2011,,,,,,False
Slovenia,2011-09-08,2015-02-05,2015-06-01,,2011,2015.0,2015.0,,2016.0,2016.0,True
Spain,2011-05-11,2014-04-10,2014-08-01,,2011,2014.0,2014.0,,2015.0,2015.0,True
Sweden,2011-05-11,2014-07-01,2014-11-01,,2011,2014.0,2014.0,,2015.0,2015.0,True
Switzerland,2013-09-11,2017-12-14,2018-04-01,,2013,2017.0,2018.0,,2018.0,2019.0,True
Turkey,2011-05-11,2012-03-14,2014-08-01,2021-07-01,2011,2012.0,2014.0,2021.0,2013.0,2015.0,True
Ukraine,2011-11-07,2022-07-18,2022-11-01,,2011,2022.0,2022.0,,2023.0,2023.0,True
United Kingdom,2012-06-08,2022-07-21,2022-11-01,,2012,2022.0,2022.0,,2023.0,2023.0,True
