country,signature_date,ratification_date,entry_into_force_date,denunciation_effective_date,signature_year,ratification_year,entry_into_force_year,denunciation_year,first_full_year_ratification,first_full_year_entry_into_force,ever_ratified,eif_is_convention_wide,verified_ratification,verified_signature,source,primary_source_status,note
Albania,2011-12-19,2013-02-04,2014-08-01,,2011,2013,2014,,2014,2015,True,True,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Andorra,2013-02-22,2014-04-22,2014-08-01,,2013,2014,2014,,2015,2015,True,True,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Armenia,2018-01-18,,,,2018,,,,,,False,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,Signatory only; never ratified.
Austria,2011-05-11,2013-11-14,2014-08-01,,2011,2013,2014,,2014,2015,True,True,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Belgium,2012-09-11,2016-03-14,2016-07-01,,2012,2016,2016,,2017,2017,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Bosnia and Herzegovina,2013-03-08,2013-11-07,2014-08-01,,2013,2013,2014,,2014,2015,True,True,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Bulgaria,2016-04-21,,,,2016,,,,,,False,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,Signatory only; Constitutional Court ruled the Convention unconstitutional in 2018. Never ratified.
Croatia,2013-01-22,2018-06-12,2018-10-01,,2013,2018,2018,,2019,2019,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Cyprus,2015-06-16,2017-11-10,2018-03-01,,2015,2017,2018,,2018,2019,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Czechia,2016-05-02,,,,2016,,,,,,False,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,Signatory only; never ratified.
