variable,source,construction,notes
outcome_primary_female_intentional_homicide_rate_per_100k,UNODC UN-CTS intentional homicide (counts) + panel population_total,"United Kingdom rebuilt from UNODC victim counts summed across its three reporting jurisdictions, divided by the summed population of the same sex, so it shares the denominator used for every other country. 17 observations. The 43 other countries match the UNODC published rates within 2%.",Rebuilt for the United Kingdom only.
male_intentional_homicide_rate_per_100k,UNODC UN-CTS intentional homicide,"UNODC Sex=Male, Dimension=Total, Category=Total, Rate per 100,000 population. 1116 observations, 45 countries.",Read from the raw source during the build.
total_intentional_homicide_rate_per_100k,UNODC UN-CTS intentional homicide,"UNODC Sex=Total, Dimension=Total, Category=Total, Rate per 100,000 population. 1267 observations, 45 countries.",Read from the raw source during the build.
female_ipf_homicide_rate_per_100k,UNODC UN-CTS intentional homicide,"UNODC Sex=Female, Dimension=by relationship to perpetrator, Category=Intimate partner or family member, Rate per 100,000 population. 436 observations, 35 countries.",Read from the raw source during the build.
male_ipf_homicide_rate_per_100k,UNODC UN-CTS intentional homicide,"UNODC Sex=Male, Dimension=by relationship to perpetrator, Category=Intimate partner or family member, Rate per 100,000 population. 434 observations, 35 countries.",Read from the raw source during the build.
female_ip_homicide_rate_per_100k,UNODC UN-CTS intentional homicide,"UNODC Sex=Female, Dimension=by relationship to perpetrator, Category=Intimate partner or family member: Intimate partner, Rate per 100,000 population. 313 observations, 31 countries.",Read from the raw source during the build.
female_share_of_homicide_victims,derived,"female / (female + male) homicide rate. Country-year shocks that affect homicide recording in general cancel out of this ratio, so it isolates the sex-specific component the Convention targets.",Calculated within the build from other panel columns.
log_female_male_homicide_ratio,derived,log(female rate) - log(male rate). The difference-in-differences estimand on this outcome is a triple difference: it nets out any country-year change in homicide levels or recording common to both sexes.,Calculated within the build from other panel columns.
unodc_subregion,UNODC UN-CTS,"UNODC Subregion, used for regionally-restricted control groups.",Read from the raw source during the build.
post_socialist,derived,"1 for post-socialist / post-Soviet countries. All six countries that never ratify are post-socialist, which is the main way in which the control group differs from the ratifying countries.",Calculated within the build from other panel columns.
convention_signed_year / convention_ratified_year / convention_entry_into_force_year,data/treatment_dates.csv,"Signature, ratification and entry-into-force years.",Read from the raw source during the build.
convention_denunciation_year,data/treatment_dates.csv,Year a withdrawal took legal effect. Turkey only (2021-07-01). Empty for all other countries.,Read from the raw source during the build.
treatment_first_full_year_ratification / treatment_first_full_year_eif,derived from data/treatment_dates.csv,"Treatment switched on in the first FULL calendar year after the event, not the calendar year containing it. Addresses within-year timing: e.g. Austria ratified 2013-11-14 and Bosnia 2013-11-07, leaving almost all of 2013 untreated. Robustness check, not the main definition.",Read from the raw source during the build.
treatment_ratification_nonabsorbing,derived from data/treatment_dates.csv,"Equals treatment_main_ratification except that Turkey returns to 0 from 2021, its withdrawal year. Used for the Turkey case study and as a robustness check, not for the main estimates.",Read from the raw source during the build.
